UF;2011;2012;2013;2014;2015;2016;2017;2018;2019
AC;2;10;4;7;3;5;1;2;0
AL;17;63;16;47;16;20;30;16;18
AM;13;60;33;9;21;16;22;24;11
AP;0;6;4;2;2;3;1;1;1
BA;94;194;113;49;77;91;72;65;48
CE;63;143;76;28;76;63;107;47;31
DF;45;236;60;39;39;46;52;39;21
ES;24;73;50;26;34;25;31;16;23
GO;26;111;63;42;47;43;45;53;87
MA;67;105;39;19;19;37;30;18;19
MG;98;248;146;73;80;96;117;103;58
MS;13;44;21;13;16;12;20;12;8
MT;7;123;17;5;15;15;20;22;7
PA;36;98;36;24;26;25;34;29;9
PB;28;95;59;46;40;44;46;55;34
PE;52;109;62;31;47;56;62;50;31
PI;107;66;104;38;29;23;21;24;10
PR;68;181;73;57;53;46;58;46;34
RJ;81;258;185;77;110;121;181;144;98
RN;22;72;47;26;32;28;23;23;10
RO;2;13;8;7;2;3;7;10;2
RR;0;7;2;0;4;0;2;2;0
RS;58;200;82;50;44;50;46;51;26
SC;25;58;35;15;23;25;24;26;17
SE;7;31;13;10;9;8;12;10;2
SP;197;405;322;250;238;277;260;274;227
TO;7;15;6;2;1;4;12;7;1
NA;0;7;19;21;880;694;384;516;0
TOTAL;1159;3031;1695;1013;1983;1876;1720;1685;833
